X,Y,OBJECTID,Count_,Int_Number,Location
771099.088,2937614.924,1,386,3121,Columbia Rd. & Wyola Place
770993.9483,2951341.409,2,388,319,Columbus Ave. & Dartmouth St.
764810.1908,2941731.79,3,389,507,Columbus Ave. & Dimock St.
769227.2606,2949409.658,4,390,95,Columbus Ave. & Massachusetts Ave.
767839.9505,2947635.156,5,391,2085,Columbus Ave. & Melnea Cass Blvd.
770655.8811,2950971.903,6,393,577,Columbus Ave. & West Canton St.
770109.8387,2950370.203,7,394,320,Columbus Ave. & West Newton St.
776891.9492,2956963.91,8,400,290,Commercial St. & Cross St.
776687.3242,2959351.411,9,401,328,Commercial St. & Foster St.
777094.5113,2959149.908,10,402,424,Commercial St. & Hanover St.
762925.6964,2952718.157,11,403,1283,Commonwealth Ave. & Cummington St.
756698.7812,2953035.737,12,404,845,Commonwealth Ave. & Fordham St.
763315.3844,2952732.409,13,405,457,Commonwealth Ave. & Granby St.
755085.0725,2952281.905,14,406,459,Commonwealth Ave. & Griggs St.
755947.4466,2952837.443,15,407,181,Commonwealth Ave. & Harvard Ave.
765652.5724,2952392.657,16,408,3087,Commonwealth Ave. & Kenmore St.
751143.1945,2949780.908,17,409,1190,Commonwealth Ave. & Leamington Rd.
767397.8225,2952432.409,18,410,90,Commonwealth Ave. & Massachusetts Ave.
748669.1941,2949011.907,19,412,1208,Commonwealth Ave. & South St.
755375.133,2952641.557,20,413,880,Commonwealth Ave. & Spofford St.
762516.8937,2952782.657,21,414,177,Commonwealth Ave. & St. Mary's St.
752764.2575,2950450.908,22,416,180,Commonwealth Ave. & Washington St.
780633.8871,2964788.912,23,434,431,Condor St. & Meridian St.
776262.8868,2954935.91,24,437,362,Congress St. & Franklin St.
775736.786,2957095.303,25,438,4035,Congress St. & Hanover St.
776544.6369,2954579.409,26,439,47,Congress St. & High St.
776090.0741,2955364.91,27,440,1520,Congress St. & Milk St.
776684.993,2954402.156,28,441,3055,Congress St. & Purchase St.
775952.324,2956112.16,29,442,52,Congress St. & State St.
754670.6327,2951411.658,30,450,641,Corey Rd. & Kelton St.
753957.82,2950640.908,31,451,640,Corey Rd. & Summit Ave.
753375.9456,2950007.156,32,452,639,Corey Rd. & Washington St.
754797.1336,2927108.154,33,454,632,Cornell St. & Washington St.
776253.5117,2957484.41,34,458,4096,Cross St. & Hanover St.
759293.4608,2927271.428,35,463,250,Cummins Hwy. & Hyde Park Ave.
757609.1967,2928914.154,36,464,2262,Cummins Hwy. & Sycamore St.
756790.5715,2929631.654,37,465,252,Cummins Hwy. & Washington St.
764892.3232,2923766.653,38,466,1367,Cummins Hwy. & Woodhaven St.
778399.8802,2949737.18,39,473,4085,Cypher & D St.
775942.0743,2946920.908,40,474,1128,D St. & Dorchester Ave.
779935.4173,2951521.923,41,479,374,D St. & Summer St.
777604.2622,2948813.158,42,480,373,D St. & West Broadway
778201.5124,2949506.909,43,481,1484,D St. & West First St.
776786.7621,2947875.158,44,482,540,D St. & West Seventh St.
777847.5121,2949097.909,45,483,786,D St. & West Third St.
773514.8869,2934765.406,46,486,2355,Dakota St. & Geneva Ave.
770041.3856,2953893.659,47,488,750,Dartmouth St. & Marlborough St.
770309.8858,2953179.159,48,489,824,Dartmouth St. & Newbury St.
770675.4987,2952239.728,49,490,110,Dartmouth St. & Stuart St.
771204.0732,2950781.909,50,491,663,Dartmouth St. & Warren Ave.
776993.6998,2946156.408,51,523,173,Dorchester St. & Old Colony Ave.
778432.3247,2947238.158,52,524,949,Dorchester St. & West Fifth St.
771894.7611,2948303.408,53,550,547,East Newton St. & Harrison Ave.
750838.8822,2948274.157,54,556,800,Englewood Ave. & Sutherland St.
775868.5116,2953638.41,55,563,377,Essex St. & South St.
776131.5117,2954208.659,56,580,48,Federal St. & High St.
762791.0312,2946920.071,57,583,1944,Fenwood Rd. & Huntington Ave.
763694.135,2937835.656,58,586,1531,Forest Hills St. & Glen Rd.
763358.4802,2935798.053,59,587,2047,Forest Hills St. & Williams St.
772186.135,2928091.403,60,603,510,Fuller St. & Washington St.
768316.7601,2953258.409,61,611,865,Gloucester St. & Marlborough St.
745213.5694,2924645.653,62,612,714,Gould St. & Spring St.  / V.A. Hospital
774694.0114,2953103.409,63,626,367,Harrison Ave. & Kneeland St.
773019.4496,2949523.158,64,631,689,Harrison Ave. & Waltham St.
768915.2607,2944826.657,65,632,784,Harrison Ave. & Warren St.
776928.6382,2955093.658,66,642,566,High St. & Oliver St.
776710.3243,2954796.66,67,643,1197,High St. & Pearl St.
777554.8477,2955424.597,68,644,7004,High St. & Purchase St.
775914.1991,2954071.909,69,645,60,High St. & Summer St.
768122.6982,2941555.407,70,646,1561,Humboldt Ave. & Martin Luther King Jr. Blvd.
767992.6355,2940837.657,71,647,556,Humboldt Ave. & Townsend St.
768122.5785,2942170.292,72,648,572,Humboldt Ave. & Walnut Ave.
767510.8854,2939942.906,73,649,947,Humboldt Ave. & Waumbeck St.
767773.0106,2940384.407,74,650,1723,Humboldt Ave. & Wyoming St.
758440.9472,2920588.402,75,668,871,Hyde Park Ave. & West St.
768906.2607,2944629.408,76,674,1969,Kearsarge Ave. & Warren St. @ The Boy's Club
766680.8227,2947744.908,77,681,1526,Leon St. & Ruggles St.
773566.5112,2952022.159,78,695,1328,Marginal Rd. & Shawmut Ave.
767501.6977,2952149.159,79,704,91,Massachusetts Ave. & Newbury St.
768599.2968,2949984.892,80,706,134,Massachusetts Ave. & St. Botolph St.
757473.0708,2925790.403,81,730,517,Metropolitan Ave. & Poplar St.
760199.1973,2920162.153,82,731,1104,Metropolitan Ave. & River St.
755335.2658,2927785.633,83,732,582,Metropolitan Ave. & Washington St.
776244.8241,2955397.91,84,733,327,Milk St. & Pearl St.
775431.574,2955423.66,85,735,23,Milk St. & Washington St.
751791.1946,2951350.658,86,736,512,Monastery St. & Washington St.
779267.8254,2941503.157,87,742,2336,Mt. Vernon St. @ Harbor Point Blvd.
776696.5366,2933182.963,88,744,469,Neponset Ave. & Victory Rd.
774477.3475,2957318.311,89,746,4091,New Chardon St. @ Bulfinch Pl.
769702.9488,2929335.905,90,751,959,Norfolk St. & Stanton St.
770383.4488,2930259.905,91,752,1065,Norfolk St. & Woodrow Ave.
756221.146,2957593.655,92,756,188,North Harvard St. & Western Ave.
770069.0108,2948080.158,93,761,785,Northampton St. & Shawmut Ave.
775163.9054,2939987.09,94,777,230,Pleasant St. & Stoughton St.
766385.6586,2946605.018,95,781,4023,Prentiss St. & Tremont St.
754811.0097,2930328.154,96,795,771,Robert St. & South St.
749744.9517,2921374.256,97,796,1003,Rockingham Ave. & Washington St.  @ Engine #55
748205.4208,2919561.513,98,797,2335,Rockland St. & Washington St.
768643.8878,2946298.655,99,799,202,Ruggles St. & Shawmut Ave.
790445.951,2965830.161,100,801,980,Saratoga St. & St. Edward Rd.
778209.9536,2954046.164,101,805,3109,Seaport Blvd. & Sleeper St.
771491.1991,2949360.408,102,806,647,Shawmut Ave. & West Brookline St.
771189.511,2949087.908,103,807,545,Shawmut Ave. & West Newton St.
755150.8835,2930511.904,104,811,770,South St. & Walter St.
756980.7703,2929873.725,105,812,2165,South St. & Washington St. @ Forest Hills MBTA Station Busway Exit (Monitor #253)
763964.0721,2946613.908,106,816,138,St. Alphonsus St. & Tremont St.
750989.1945,2948624.408,107,818,392,Strathmore Rd. & Sutherland Rd.
777950.6371,2952555.909,108,1,1251,A St. & Melcher St.
777383.137,2956092.16,109,87,2006,Atlantic Ave. & Milk St.
777256.8242,2957137.91,110,89,1964,Atlantic Ave. & Richmond
777312.6995,2956403.91,111,90,2023,Atlantic Ave. & State St.
776351.6993,2953860.159,112,91,43,Atlantic Ave. & Summer St.
